code,system
14C3.00,readv2
25P..12,readv2
Jyu3.00,readv2
100575,med
102024,med
102732,med
104452,med
105280,med
10544,med
1071,med
107386,med
108492,med
108531,med
10926,med
1225,med
1406,med
1484,med
15486,med
1559,med
15595,med
15608,med
15681,med
16913,med
20056,med
20259,med
20280,med
20603,med
21516,med
21569,med
2230,med
22315,med
23543,med
23925,med
25257,med
25413,med
26890,med
27469,med
27524,med
27607,med
27684,med
27850,med
28060,med
28117,med
2863,med
29088,med
29341,med
29693,med
29847,med
2987,med
30056,med
31216,med
31694,med
3174,med
3261,med
33531,med
33753,med
34784,med
35259,med
35442,med
36265,med
36482,med
3651,med
37837,med
3901,med
3952,med
3953,med
39795,med
40757,med
408,med
41557,med
41624,med
41671,med
41798,med
41808,med
41837,med
4249,med
43118,med
43120,med
44415,med
44501,med
44603,med
44672,med
45085,med
45371,med
45432,med
45461,med
48103,med
48246,med
48277,med
50434,med
50684,med
50775,med
51564,med
51611,med
52623,med
52713,med
52808,med
53645,med
53662,med
53733,med
53798,med
53966,med
54363,med
54857,med
5531,med
56174,med
5653,med
57046,med
57074,med
57593,med
58874,med
60858,med
61003,med
61539,med
62839,med
63166,med
63168,med
63481,med
64119,med
64171,med
64521,med
64823,med
64956,med
65112,med
65147,med
6537,med
65383,med
65608,med
66751,med
67143,med
68494,med
69934,med
70641,med
70896,med
70984,med
71798,med
71971,med
722,med
7445,med
7921,med
800,med
8042,med
8872,med
93234,med
93540,med
9405,med
9557,med
95806,med
97718,med
97851,med
97892,med
99212,med
25P2.00,readv2
25P3.00,readv2
J302.00,readv2
J302z00,readv2
J312.00,readv2
J312z00,readv2
25P4.00,readv2
25P5.00,readv2
25P6.00,readv2
J30..14,readv2
J35..00,readv2
J36..00,readv2
J3A..00,readv2
J3D..00,readv2
J3yz.11,readv2
5275,med
7H10.00,readv2
7H10y00,readv2
7H10z00,readv2
7H11.00,readv2
7H11111,readv2
7H11600,readv2
7H11z00,readv2
7H13.00,readv2
7H13z00,readv2
7H11200,readv2
7H13200,readv2
7H18200,readv2
7H11300,readv2
82B2.00,readv2
7H11400,readv2
7H13300,readv2
7H11500,readv2
J300000,readv2
J301000,readv2
J301200,readv2
J302000,readv2
J302200,readv2
J303000,readv2
J303200,readv2
J30y000,readv2
J30y200,readv2
J310000,readv2
J311000,readv2
J312000,readv2
J313000,readv2
J313200,readv2
J31y000,readv2
J31y200,readv2
7H11y00,readv2
7H13y00,readv2
7H18y00,readv2
J30y.00,readv2
